Nome,Tipo Evento,Data,Horário Abertura,Classificação,Local,Cidade,URL Dados
 Tanoa Praia,Eventos, 21/06/2024, 11:00, Livre,Tanoa Praia , Florianópolis,https://www.pensanoevento.com.br/eventos/63190/tanoa-praia
 Los Troncos Parrilla Uruguaya - Sexta-feira,Gastronomia, 21/06/2024, 11:30, Livre,Los Troncos Parrilla Uruguaya , Florianópolis,https://www.pensanoevento.com.br/eventos/62668/los-troncos-parrilla-uruguaya-sexta-feira
 Feeling Floripa - Sexta-feira,Baladas, 21/06/2024, 12:00, 12 anos,Feeling Lounge , Florianópolis,https://www.pensanoevento.com.br/baladas/59894/feeling-floripa-sexta-feira
 Telinho do Cavaco & Banda,Eventos, 21/06/2024, 18:00, Livre,Boteco Zé Mané , Florianópolis,https://www.pensanoevento.com.br/eventos/63016/telinho-do-cavaco-banda
,,,,,,,
Micro franquia barata lucrativa baixo investimento Super Anfitrião Meet up,Cursos,08/05/2025,13:00,,"R. Patrício Farias, 131",Florianópolis,https://www.sympla.com.br/api/v1/search
Cohost Coanfitrião Administrador gestão de Airbnb Florianópolis e região - Meetup Encontro,Congressos,30/12/2025,15:00,,"R. Patrício Farias, 131",Florianópolis,https://www.sympla.com.br/api/v1/search
INOVAR SC 2024 . 11a Edição,Cursos,12/11/2024,12:30,,FACISC,Florianópolis,https://www.sympla.com.br/api/v1/search
III Simpósio Internacional de Inclusão no Ensino Superior,Congressos,18/06/2024,10:30,,Assembleia Legislativa de Santa Catarina (ALESC),Florianópolis,https://www.sympla.com.br/api/v1/search
CONSTRUSUMMIT 2024,Congressos,04/09/2024,11:00,,CentroSul,Florianópolis,https://www.sympla.com.br/api/v1/search
27º Congresso Internacional UNIDAS - Inovação impulsionando o propósito das autogestões,Congressos,27/11/2024,11:00,,CentroSul Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Anos Dourados - A Boate,Baladas,06/07/2024,00:30,,Lira Tênis Clube,Florianópolis,https://www.sympla.com.br/api/v1/search
ESQUENTA SUMMIT HAPPY HOUR,Congressos,13/08/2024,22:00,,Botequim Floripa,Florianópolis,https://www.sympla.com.br/api/v1/search
Mercosul iGaming Summit - Gramado,,05/12/2024,11:00,,Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Seminário Estadual para a Avaliação e Revisão do Plano de Atendimento Socioeducativo SINASE - SC,Congressos,11/07/2024,11:00,,Universidade do Estado de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
Seminário Estadual para a Avaliação e Revisão do PDNDHCA - Santa Catarina,Congressos,12/07/2024,11:00,,Universidade do Estado de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
A Melhor Turnê do Mundo: Bella e o Olmo da Bruxa em Florianópolis,Shows,18/07/2024,23:00,,Haôma Baixo Centro Bar,Florianópolis,https://www.sympla.com.br/api/v1/search
Concerto Sinfônico (em Florianópolis/SC),Teatro,06/07/2024,23:00,,Teatro Ademir Rosa,Florianópolis,https://www.sympla.com.br/api/v1/search
MEGA RODADA DE NEGÓCIOS FLORIPA 28/09/2024,Congressos,28/09/2024,11:00,,Hotel Majestic Palace,Florianópolis,https://www.sympla.com.br/api/v1/search
Hackeando os estudos: Os Segredos e Truques de IA dos Estudantes,Cursos,09/07/2024,17:00,,Centro Socioeconômico - CSE UFSC,Florianópolis,https://www.sympla.com.br/api/v1/search
Porter Summit 2024,Baladas,09/11/2024,11:00,,Centro Sul,Florianópolis,https://www.sympla.com.br/api/v1/search
Sessão Especial em comemoração dos 40 anos da ADVB,Cursos,15/07/2024,22:00,,Assembleia Legislativa do Estado de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
Workshop: Transformando Pessoas e Territórios Inteligentes,Cursos,25/06/2024,12:30,,CentroSul,Florianópolis,https://www.sympla.com.br/api/v1/search
Florbela Espanca,Teatro,22/06/2024,23:00,,Teatro da UBRO,Florianópolis,https://www.sympla.com.br/api/v1/search
CURSO |RELACIONAMENTO CONJUGAL COMO ENTENDER SEU MARIDO,Cursos,08/03/2024,22:30,,AD Floripa - Igreja Evangélica Assembleia de Deus em Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Floripa Craft Beer,Shows,22/06/2024,14:00,,"Av. Cláudio A. Barbosa, 24",Florianópolis,https://www.sympla.com.br/api/v1/search
21º Congresso Catarinense KLA de Liderança (PRESENCIAL),Congressos,20/07/2024,12:30,,Centrosul,Florianópolis,https://www.sympla.com.br/api/v1/search
FIFTY SHADES FREED/ 50 TONS DE LIBERDADE,Baladas,08/09/2024,01:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
REWIND #03 - OLDSCHOOL HITS PARTY com Rose Bar e JP Bueno,Baladas,21/06/2024,01:00,,Jivago Social Club,Florianópolis,https://www.sympla.com.br/api/v1/search
FaceLift Massage Training Florianópolis,Cursos,19/07/2024,12:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
Mafalda Minnozzi - Florianópolis,,18/06/2024,23:00,,Teatro Ademir Rosa,Florianópolis,https://www.sympla.com.br/api/v1/search
Open Bar das UndrCats + Pista Experimental: Pop BR,Baladas,23/06/2024,02:00,,"Alameda Adolfo Konder, 1007",Florianópolis,https://www.sympla.com.br/api/v1/search
Oficinas - Jornada científica 2024,Cursos,15/06/2024,18:00,,"R. Antônio Dib Mussi, 366",Florianópolis,https://www.sympla.com.br/api/v1/search
Congresso Sul-brasileiro de Gestão Estratégica na Saúde,Congressos,21/09/2024,11:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
Embraza + Pista Experimental: Rave Baile,Baladas,22/06/2024,02:00,,"Alameda Adolfo Konder, 1007",Florianópolis,https://www.sympla.com.br/api/v1/search
PRESENCE LED ZEPPELIN EM CÉLULA SHOWCASE,Baladas,20/07/2024,00:00,,Célula Showcase,Florianópolis,https://www.sympla.com.br/api/v1/search
eDOC4a Florianópolis,Congressos,20/06/2024,11:00,,FACISC - Federação das Associações Empresariais de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
Bruxólico - Teatro dos Livros do Vestibular - 19/10 - 14:00,Teatro,19/10/2024,17:00,,Teatro do CEMJ,Florianópolis,https://www.sympla.com.br/api/v1/search
Bruxólico - Teatro dos Livros do Vestibular - 20/10 - 14:00,Teatro,20/10/2024,17:00,,Teatro do CEMJ,Florianópolis,https://www.sympla.com.br/api/v1/search
DWX | Data World Xperience 25,,20/03/2025,12:00,,CentroSul,Florianópolis,https://www.sympla.com.br/api/v1/search
O Segredo por trás do propósito,Cursos,19/06/2024,22:00,,Majestic Palace Hotel,Florianópolis,https://www.sympla.com.br/api/v1/search
EGOV EXPERIENCE TOUR®   O melhor projeto de GOVERNO DIGITAL do mundo e os cases do Brasil,Congressos,03/07/2024,11:00,,Auditório - CIASC ,Florianópolis,https://www.sympla.com.br/api/v1/search
TÁBULA MAGICKA,Cursos,06/07/2024,13:00,,Castelmar Hotel,Florianópolis,https://www.sympla.com.br/api/v1/search
Jornada de Cartel: A Psicanálise e os Discursos,Cursos,29/06/2024,17:00,,Edifício Saint James,Florianópolis,https://www.sympla.com.br/api/v1/search
